glove	respect
prediction	your concerns, fears and/or anxieties about the future
timber	prosperity, strength, durability and creativity
washing	your problems will soon pass
top_hat	male elegance, formality and/or a flamboyant flair
typhoon	sudden unexpected changes occurring in your life
x-ray	you need to look pass the surface and focus on what is inside
breakdancing	you are deliberate and controlled in your actions
peach	pleasure and joy
fleur_de_lis	spiritual power and control
lamb	deception
parasol	you are open to confronting your own feelings and letting your emotions come to the surface
evening	the end of a cycle, aging or death
accelerator	a loss of control in some aspect of your life
heel	oppression, lowliness, and vulnerability
archbishop	someone has power over you and are making you do things you do not necessarily want that to do
convict	some situation or relationship is making you feel restricted
gooseberry	you are enjoying your time of leisure
sympathy	you are lacking sympathy in your walking life
shepherd	the nurturing aspect of your character
employee	you are discovering a new aspect of yourself
promise	your waking life commitments
cruise	some emotional journey that you are going through
fencing	you are at odds with someone in your waking life
pavement	you have a clear understanding and grasp of a situation
laxative	you need to let go of the emotional hurt and fears that you are still harboring inside
sect	you are in some destructive and/or manipulative relationship
woke	you are acknowledging core aspects of that person within your own self
dessert	indulgence, celebration, reward, or temptation
decompose	the degradation of a situation or circumstance
jelly	insight into a situation you have been wondering about
climate	you are about to make some major move
salesperson	there is something you need to incorporate in your life
mother	you are becoming like your mother
bouquet	respect, affection, approval, graciousness, admiration, and love
pangolin	you need to protect yourself from your own drive
counterfeit	you are feeling unworthy or that someone is devaluing your talents or efforts
transsexual	your anxieties or ambivalence about masculine/feminine roles or passive/aggressive behavior
eyeglasses	you need to look at some problem or something from a new perspective
gritty	hesitance or tentativeness about a decision, situation or relationship
appear	you need to utilize your intellect in a more creative and productive way
cooking	you are trying too hard
stage	your behavior, manipulation of and relationships with others
water_hose	renewal, rejuvenation and cleansing
protractor	you are trying to look at things from someone else's angle
artist	the creative and intuitive side of your character
dog	you are nurturing an old skill or talent
river	your life is feeling out of control
rescue	an aspect of yourself that has been neglected or ignored
syringe	health issues, illness, or drug use
gloomy	you need some direction or clarity in a waking situation
sorority	personal growth and social changes that you are experiencing in your life
giraffe	your desire to stand up amongst the crowd
kiwi	a need to be reenergized or revitalized
cable_car	the compromises that you make in life
ice	you are slowly warming up to a situation
jesus	a message from the Holy Spirit 
neighborhood	aspects of your subconscious
aurora_borealis	renewed energy, vitality, awe, insight and youth
wedlock	some situation will take a turn for the worse
otter	happiness, playfulness and good fortune
robe	personal issues you need that to confront
castration	your overwhelming fears that you have lost your virility
pinecone	wealth and good fortune
tweezers	you need to look at a situation much more closely
radioactive	suppressed emotions that are on the verge of spilling over into your conscious and creating a negative influence in your daily life
balance_beam	there is a situation that requires your focus and full attention
demeter	your maternal instinct and your desire to provide for and support your dependents
marriage	you are feeling forced to do something you do not want to do
plaster	there is some matter that you are trying to resolve or settle
rabies	unexpressed hostility which may erupt in violence if not expressed in a controlled manner
dying	you are lacking a certain aspect or quality that the loved one embodies
bowel_movement	you are expressing regret about something that you said
scale	a decision you need that to make
blossom	the beauty within your Self
squash	fertility and abundance
friend	regression 
determination	your ambition and realization of your goals
tutor	you are seeking some personal advice or guidance
sword	your strength, ambition, competitive nature decisiveness and willpower
emperor	completion and creativity
cat	you are feeling threatened
newborn	innocence, warmth and new beginnings
albino	purity or eternal life
breakfast	the start of a new project or the beginning of a new stage in your life
mute	you are afraid to say something for fear of being criticized or judged
cpr	you have resolved some anxiety, fear or tension in your life
ketchup	simplicity, youth, and happiness
preschool	you are going through a transitional phase in your life
driving_test	your goals and aspirations are being put to the test
bicycle	you are more accepting with aspects of yourself or of your partner that you have previously rejected
buying	your acceptance of an idea, condition, or situation
snake	protection from illnesses
ladder	bad luck
foreplay	your unfulfilled desires and wishes
score	some sexual conquest
thigh	stamina and endurance
exhibit	you need to take a closer look at the various aspects of your life
gorilla	you may be too "over the top" in your behavior
sea	you are drifting around in life without any direction
flyswatter	the opportunity will pass you by
monastery	you need to learn and explore more about yourself, especially the masculine side
lover	acceptance
knitting	you are manipulating a situation in order to get a desired outcome
addict	you are no longer in control of a situation
mickey_mouse	the magic and joy of childhood
scared	you are experiencing feelings of self-doubt, incompetence, and lack of control in your waking life
window	your outlook on life, your consciousness and your point of view
movement	your ability to cope with various situations
panty	your ideas of sexuality
video_camera	you need to be more objective in your decisions
plant	fertility, spiritual development, potential, and growth
port	shelter from a stormy relationship or chaotic situation
hot_tub	you are unveiling aspects of your subconscious
body_bag	you are feeling distant or disconnected
thumb	some negative force is luring you toward some illicit activity
cocoon	your need to rejuvenate and restore your body, mind and spirit
ass	a lack of understanding
terrarium	you are keeping aspects of yourself a secret and protecting yourself from others
name	you are feeling overwhelmed and burdened
dog	you have lost your ability to balance aspects of your life
platypus	your tendency to wallow and dwell on your emotions
star_of_david	the merging power of love and creativity
indigestion	there is an issue or problem plaguing you
crush	a literal reflection of your attraction and fascination for that person
bloodstone	tranquility, tolerance, and understanding
roommate	there is a lesson you need that to acknowledge from that former relationship and apply it to a current life situation
parachute	a protective force over you
tax	the price you are paying for the way you live
statistic	some decision is weighing on you
perfect	your unrealistic expectations and idealistic notions
trouser	your gravitation for oddness and peculiarity
boot_camp	your need for discipline and rigid rules
author	you need to better express your opinions
cocoa	relaxed state of mind
lighter	a spark of some new idea
brass	deception, falsehood and deceitfulness
camel	you are ready to let go of some of the burdens, responsibilities or emotional baggage that you are carrying around
music_box	a past memory
booger	you are ready to confront some subconscious material
cyst	you have something that needs to be expressed and get out in the open
traveling	the path toward your life goals
abnormal	the problems that have been preoccupying your mind will soon be resolved
belt	a constricted flow of life energy and issues of morality
pregnant	an aspect of yourself or some aspect of your personal life that is growing and developing
aura	some important information is being relayed to you in the dream
aswang	you are utilizing deception and underhanded means to get what you want
backflips	you are going out of your way to help or please someone
media	there is a messages you need that to convey and get across to others
wife	discord and unresolved issues
hammock	you are being mislead into thinking that everything is okay when it is not
motherboard	the steps and processes that need to be completed in order to produce a desired outcome
carrot	clarity
search	the need to find something that is missing or needed in your life
undead	your inability to express yourself
bird	money
microphone	you need to be more assertive and forceful
attic	a sign to organize your mind and thoughts
haunted_house	unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings
testicle	raw energy, power, fertility or sexual drive
banner	your willingness to stand up and fight for a cause or common goal
kidney	a need for cleansing
manatee	your passiveness in a situation
pomegranate	fertility, good health, life and longevity
soap	you need to wash away some of your past emotions or memories
ladder	you will find success if you have the support of others
nephew	some aspect of yourself that you need to acknowledge or recognize within yourself
universe	the endless possibilities
complexion	how others perceive you
rolling_credit	your confidence in your own ability
leather	toughness and ruggedness
oil	great wealth and riches
above	you need to set your goals higher
electrocution	the current course of your actions will lead to disaster
comic	you need to learn to not take yourself so seriously
train	your legacy 
hit_and_run	certain aspects of your life beyond your control
bier	a loss
grave	some nervousness and uneasiness over some undertaking
wolf	betrayal
bandana	you need to look at issue or problem more objectively
famine	a negative turn in business and in health
music	unhappiness, lack of harmony, and troubles in your relationship or domestic life
communion	your conflict with the material world and the spiritual world
spinning	confusion
ivory	purity, strength, and endurance
automobile	you are in for an emotional journey
swing	memories from childhood
season	a passage of time and the phases and periods in your life
hairdresser	you are imposing your ideas and opinions on others
psychopath	you are being deceived or manipulated
gooseberry	a happy and bright outlook
sacred	the things that you hold close and value
pineapple	self-confidence, ambition and success
tumbling	your ability to balance aspects of your life
crooked	something is not right or normal about a situation
pregnant	you are experiencing a closer connection to this person
roller_coaster	life's frequent ups and downs
number	some urgent matter or important them in your life that you are missing or overlooking
safari	freedom from societal norms and rules
serpent	wisdom
welfare	you are feeling shameful of your life circumstances
telepathy	fear of exposure
name	you are undergoing some major transformation or metamorphosis in your waking life
fat	prosperity
dry_cleaner	you are trying to be more objective in some situation
comet	you need to move on and free yourself from emotional and physical burdens
dice	you are taking chances and playing with fate
rose	the parting or absence of a loved one
service	your willingness to share or help others
england	renewal and fertility
blacksmith	inner strength and endurance
lotion	a beautiful soul
sea_urchin	a flaw or weakness in your thinking
scuba_diving	your desire to delve deep in to your subconscious
pendulum_thrill_ride	you are experiencing wild mood swings
air	the influence of evil around you
nightstand	the things in your life you need that to put to rest and let go of
aloe	you are ready to heal from some emotional wound
skunk	fear
name	you are in touch and in tune with your spirituality
cannon	there is something drastic that needs to be done immediately
electric_fence	anger has caused you to isolate yourself from everyone else
closed	your inability to consider other alternatives and other viewpoints
bucket	an improvement in your current situation
mail	you are feeling isolated of left out in some waking situation
niece	some aspect of yourself that you need to acknowledge or recognize within yourself
merry	your waking happiness
leprosy	you are not utilizing your full potential
tomb	you are about to venture into parts of your personality which have been forgotten or have thought to be dead
canopy	protection
zombie	you are physically and/or emotionally detached from people and situations that are currently surrounding you
corn	domestic bliss and harmony
surveillance_camera	your feelings of being scrutinized
steep	success and significant progress toward your life goals
insecticide	you need to rid yourself of some anxiety in your life
number	you need to pace yourself in some situation
trapeze	a carefree attitude toward life
boyfriend	your waking relationship with him 
ex-boyfriend	a freer, less encumbered relationship
people	qualities and feelings of them that you desire for yourself
battery	life energy and vitality
christmas_tree	family celebrations, gatherings, and familial relationships
adventurer	you are lacking adventure in your waking life
heart	truth, courage, love, and romance
clarinet	you need to adjust your tone of voice
application	you are lacking something in your life
school_bus	you like to take charge of others and watch out for their best interest
pelican	nurturance, sacrifice, and charity
red_snapper	you are speaking and acting out of anger
chart	your goals and your approach to life
pet_food	you need to address some animalistic or primitive thoughts
adulation	you will arrogantly step up to undeserved position of honor
meeting	you need to redirect your energies toward a more productive endeavor
target	you have your sights clearly set on a goal
baggage_claim	you are experiencing a lack of identity
minister	you need to be more compassionate and understanding in some situation or relationship
woman	your concerns about aging and growing old
aids	your psychological integrity is being attacked
army	your feelings of superiority
floor	your support system and sense of security
witness	your need to be more observant
earthworm	you need to go deep into your subconscious in order to unearth your hidden feelings and desires
brain	you need to rethink some important issue
mouth	your need to express yourself or talk about an issue that's bothering you
sippy_cup	you need to take things more slowly in a new relationship
vortex	big changes ahead which may lead to loss, chaos and scandal
cemetery	an end to a habit or behavior
sex	the closeness you share with your friend
headline	a special message from your subconscious
camper	you need to move on with some situation or some aspect of your life
knocking	your subconscious is trying to attract your attention to some aspect of yourself or to some waking situation
boathouse	you are well in tune with your emotions
drafted	the opinions and beliefs of others are being forced upon you
quay	you are moving forward into a new phase of your life
down	you have made a wrong decision or headed toward the wrong direction in life
photo_album	you are unwilling to let go of your memories and the past
iodine	you need to pace yourself in whatever you do
hyacinth	severe jealousy
pelvis	sexual issues 
underarm	your social connections and your relationships to others
investigator	you are searching for your hidden abilities and talents
chapel	you are seeking for spiritual enlightenment and guidance
fasting	self-renewal and self-cleansing
pine_tree	immortality, life, and/or fertility
handstand	ability to balance many responsibilities at the same time
humor	feelings of humiliation and/or helplessness
ping_pong	you are going back and forth between two choices
peephole	you have a narrow perspective on a situation
belch	your subconscious is informing you that you are going through some changes
chicago	mainstream thinking
artery	how well you carry yourself and your ability to reach out to others
aviary	a decreased sense of freedom
mocking	you are suffering from low self-esteem
mad_dog	you will overcome the adverse opinions of others
tower	you are keeping your emotions inside
dress_form	your desires 
essay	some deadline or anxiety over an issue
royalty	spiritual strength, grace, power, extravagance, as well as ruthlessness
waterfall	symbolic of letting go
jumper_cable	you need to get a jumpstart on your goals
nail_clipper	you need to rid something that is holding you back
luck	you are feeling sorry for yourself
maid	you are depending too much on others for their help
throw	there is something that you have overlooked and need to pay closer attention
water	you are becoming overwhelmed by your emotions
grandfather	tradition, protection, wisdom, and a caring nature
question	you have information or knowledge that needs to be shared
sideways	you are not approaching your problems or issues head on
car	you are in for an emotional journey
slipper	you are feeling sluggish and/or insecure
heroin	your desire to escape from the pain of reality instead of confronting them
laughing	feelings of humiliation and/or helplessness
capricorn	fears of inadequacy
strobe_light	chaos in your waking life
cushion	you are in need of more rest and relaxation
dimple	happiness, joy, and pleasure
shelter	the difficulties and sense of helplessness that you are experiencing
drift	you have a handle on your emotions
metallica	your independent nature and your tendency to reflect on your thoughts alone
lollipop	surprises, new experiences and adventures
razor_blade	some cutting remark that you made and is coming back to haunt you
letter	you are intentionally ignoring some information
magistrate	an authoritarian figure in your life
cop	you have yet to acknowledge your own authoritativeness in a situation
noodle	longevity and abundance
room	a fresh start
guard	rational thinking
marsh	instability in your emotional realm
violence	unexpressed anger or rage
march	disappointments
godzilla	feelings of being out of control
intercom	you are always readily available to those who need your help
government	power and the qualities or feelings that rule your life
platter	you are feeling lazy or envious
airbag	you will run into a major setback if you keep the pace of your current life path
music	prosperity and pleasure
attack	pent-up frustration and anger
september	your anger and fears
stripper	your desires 
chess	you are completely engrossed or submerged in some situation, relationship or task
gnu	a lack of control in your life
adopted	you are longing for the child within you
birthday_cake	the best of your wishes will be realized
fan	the changes in your life
classmate	you need to draw on your old associations with your former classmates to gain insight in some current relationship
end_credit	your confidence in your own ability
language	you are having difficulties expressing your thoughts
model	you are going through a new developmental phase in your life
errand	you are stuck in a rut
gunpowder	you are on the verge of losing your temper or about to blow up over some matter
cash_register	financial worries and concerns
ice_cream	failure to realize your hopes and desires
scallop	female sexuality
sun	a significant disruption or serious problem in your life
witchcraft	some inner transformation or changes
food	you are entangled in some emotional matter you are not sure which about how to get out of
pirate	some person or situation is adding chaos to your emotional life
egg	some financial gain
zodiac	the various aspects of your conscious being and 
partridge	independence
lung	insight, creativity, and inspiration
score	your successes or failures 
stolen	you are experiencing an identity crisis or are suffering from some sort of loss in your life
dress	a feminine outlook or feminine perspective on a situation
nursing_home	you are becoming too dependent on others
churning	disorder and chaos
incubator	you have been acting prematurely
dad	a desperate need for greater closeness with your father
elephant	you need to be more patient or more understanding of others
payphone	a message or advice that comes with a price
washing	you are proud of your social life and personal endeavors
backgammon	an unwelcome guest
sunrise	new beginnings, renewal of life and energy, and fulfillment of your goals and purpose
goosebumps	validity and truth 
hawaiian_shirt	your relaxed attitude
lap	your search for stability and security
scar	your struggles
psychic	your intuition and the sensitive side of your personality
avocado	you will be well rewarded if you devote some time and effort to some goal or project
baby_shower	you are welcoming a new start
brochure	your open mindedness and your willingness to hear dissenting views
ice_cream	good luck, pleasure, success in love and satisfaction with your life
record_player	you have broken free from a cycle or habit
medieval	old habits/attitudes and old ways of thinking
snake_charmer	to control over your sexual desires
vermin	sickness and trouble
journey	advice that some of their songs may offer in some waking situation
leggings	you are flexible and open to change
clown	absurdity, light-heartedness, and a childish side to your own character
waste	you are overexerting yourself or investing too much of your energy on something that may not be worthwhile
smelling_salt	you need to pay attention to or focus on some goal or urgent matter
mass	your sense of community
elm	death, misfortune, and bad luck
homicide	you are putting an end to an old habit and a former way of thinking
suntan	the shadow aspect of yourself and your primal instincts and natural senses
coin	masculine power, dominance, and energy
elimination	you are expressing regret about something that you said
pizza	abundance, choices, and variety
figurines	you are underestimating your own abilities and in yourself
calf	movement and your ability to jump from situation to situation
georgia	you are longing for the comfort of home or of more familiar surroundings
limestone	your own stubbornness
leash	a need for more control in your life
giant	feelings of inferiority
piano	a quest for harmony in your life
family	togetherness
dalmatian	you overlook your own feelings in order to tend to the needs of others
marmalade	you need to incorporate some zest in your life
chemical	you are undergoing some transformation and individuation process
igloo	someone who appears cold and frigid on the outside
stampede	wild and erratic behavior
convict	an aspect of yourself is unable to freely express itself
television	your mind and its flowing thoughts
religion	you need to incorporate some key component of that religion in your own life
detour	you have encountered an obstacle in some aspect of your life
lotion	you appreciate the minor and sweet things in life
rattle	some situation or issue you need that to tend to
waltz	class and sophistication
cattle	a lack of individuality
danger	you need to be more cautious in some aspect of your life
marching	teamwork, conformity, and structure
hag	the "Wise Old Woman" figure 
acacia	your attitudes with death and your sense of mortality
antelope	your high ambitions will only be achieved through a great expenditure of energy
gambling	you are too impulsive and relying too much on fate
anchor	stability and security
sandwich	a lot of pressure and stress is being put on you
sculpture	you are refusing to accept things as they really are
hammock	your appreciation of life
colorless	a depressed mood and a feeling of sadness
sanitary_napkin	you need to release some pent up anger or tension
hummer	you have little or no regard for others
bagel	there is key element missing from your life
narcissus	vanity
thorn	there is a prickly situation you need that to overcome
umbilical_cord	you need to be self-sufficient and stand on your own two feet
bodyguard	you are uneasy about some situation in your waking life
apartment	your financial or emotional state
mugshot	you need to face up to your responsibilities and acknowledge the mistakes you have made
parcel	an aspect of yourself that was once hidden 
deceased	you are being influenced by negative people and are hanging around the wrong crowd
screening	you are watching life pass you by
duck	falsehood and deceit
hare	swiftness, transformation or self-sacrifice
failure	fears of inadequacy and low self-esteem
northern_light	renewed energy, vitality, awe, insight and youth
commune	you are withdrawing from society
horseman	you are under some negative influence
leopard	success in your projects
automobile	your ambition, your drive and your ability to navigate from one stage of your life to another
doppelganger	a reflection of your negative actions
bamboo	there is imbalance in your waking life
ancient	your sense of foundation
mover	it is time for your to move on from a situation
bully	your tendency to dominate a conversation relationship or situation
cult	you are lacking any spiritual freedom
barrack	you are in a restrictive situation
relationship	wish-fulfillment
elephant	there is an enormous problem that you are afraid to confront
air	your carefree and upbeat attitude
unfaithful	you are not being honest with yourself
poor	feelings of inadequacies
ocean	you are coming to terms with your emotions
fig_leaf	a loss of innocence or a fall from grace
water	you need to show more of your emotions
smog	your negative emotions
wallet	someone may be trying to take advantage of you
music_box	the things that you treasure and hold dear to your heart
pencil	you need to start putting your words into action
function	your celebration of life
water_fountain	you are feeling emotionally refreshed and rejuvenated
donkey	you are afraid of being caught in some illicit activity
niche	your need to belong and your need to feel protected
kettle	great and laborious work ahead
sextuplets	there is balance, harmony and tranquility in your family life
exhausted	you are feeling emotionally drained and stressed
cork	male sexuality and climax
salami	you are having issues related to your self-image
window	your need for privacy
midnight	you need to face reality
valve	you need to keep your cool especially when under pressure
bullhorn	you need to be more vocal and expressive about your feelings
property	your standing in life
lecture	you need to do some research and weigh out your options before making a decision on some matter
wagtail	you are always alert
sasquatch	the unknown and the subconscious
tipsy	your carefree nature and jovial disposition
adversary	a conflict or a fear that you are facing in your waking life
autopsy	you are disconnected from your feelings or devoid of emotions
baby_carriage	your desire for a family 
toothless	your rivals are attempting to bring down your good name
father	authority and protection
egret	some codependent relationship
sister	whether it one of sibling rivalry, nurturance, protectiveness, etc
champagne	a sexual act
nursery	your maternal instinct
will	characteristics or qualities that you can learn or adopt from your descendents
security_camera	you feel that you are being scrutinized and judged for your actions or behavior
tarot_card	your current situation and state of mind
fishnet	a fear of being found out or caught in the act
belly	your deep connection with your mother
initiation	you are pursuing a new path or goal
lullaby	your ability to calm others
punching_bag	your pent up anger and hidden aggression
whispering	you need to pay closer attention to something or listen to someone more carefully
wall	you ashamed in acknowledging your connections
fold	you need to better compartmentalize your mind and organize your thoughts
tongue	you are lying about something or that you are being a hypocrite
sanctuary	your need to escape from the demands of your daily life
bride	a feminine aspect of yourself has come to an abrupt end
aircraft_carrier	you are preparing to confront your emotions
vampire	you are sucking in the life energy of others for your own selfish benefit
cancer	you need to change your negative way of thinking before it eats away at you
incubus	some deep fear
abscess	there is something you need that to express and get out into the open
execution	you are harboring some strong guilt
stun_gun	you are in need of a jolt or a shot of energy in your life
epicure	your fine and high-end taste
game	you need to take a break from your daily life
skating	satisfaction with a current project
dawn	rejuvenation, enlightenment, and vitality
hinge	your access to opportunities or information
media	your lack of privacy
water	your emotions are welling up and can potentially close you off to others
mirror	you are coming face to face with some inner or worldly issue
pitcher	the outpouring of ideas, knowledge, or emotions
rooster	masculinity, pride, valor, cockiness and arrogance
gift	disappointments or unexpected failures
law	you need to show more restraint in certain areas of your life
find	you are coming into contact with some aspect of your psyche or subconscious
imp	chaos and disorder
noise	the unexpected and the unknown
truck	you are feeling overloaded and are in danger or burring yourself out if you don't slow down
spider	your control 
direction	your goals and purpose
backyard	your childhood memories or your subconscious
black_eye	unresolved conflict
jug	infidelity
lubricant	you want things to run more smoothly in some area of your life
satellite	global communication 
sindoor	you are undergoing a transitional phase in your life
door	you have missed a huge and/or profitable opportunity, especially if you are standing outside the castle door
estranged	your desire to rebuild a connection or relationship with this person
marionette	you are allowing others to control you
bus_station	you have reached some new level or stage in your emotional or physical life
facial	you are feeling guilty about something
concubine	a sexual relationship you are involved that in
washing	there is a worrisome issue you need that to work through
lemming	you need to rethink the risks you are taking
stock_market	a major blow to your hopes and dreams
hatchet	you need to divide your problems into smaller, more manageable sizes
crow	death and the darker aspects of your character
need	you are lacking something important in your waking life
juniper	you need to take the negative with the positive
yelling	repressed anger that needs to be expressed
loan	your worries over money matters
criminal	you are looking for a short cut in life
concern	you are feeling much anxiety, unhappiness, or uneasiness in some situation of your waking life
karaoke	you are too overly confident in your abilities
gallow	you are feeling threatened in your waking life
beehive	sorrow over love affairs and financial losses
accuse	disagreements and dissension with those around you
statue	some miracle
sunglasses	your poor perception of some issue
turnstile	you are entering a new phase or transition in your life
tourist	how you are in a position to provide help to others
mortgage	you are maximizing your energies and putting it toward worthwhile pursuits
packing	big changes 
break	changes are ahead for you
road_rage	your emotions are out of control
people	those around you who don't want you to move ahead and succeed in life
character	you are avoiding some responsibility or refusing to acknowledge your role in it
cucumber	recuperation and recovery
jasper	the truth of some matter will soon be revealed to you
coupon	you are doing your best to maximize your resources
grass	your hard work and efforts will pay off in the end
pomander	protection
gemini	your quick thinking ability and keen wit
bouncer	you are suppressing your desires
if_the_plate_is_empty_in_your_dream,_then_it_indicates_that_there_is_an_emotional_void_in_your_waking_life._you_may_be_feeling_left_out._alternatively,_it_suggests_that_you_need_to_rethink_your_priorities.	you are moving on and planning for the next thing that comes your way
mumps	you are unable to communicate your point across
prophet	knowledge, wisdom, and your need for guidance
divorce	you need to differentiate between things in your life and prioritize them
burqa	are feeling sexually repressed
atv	your desire to get off the beaten path
rickshaw	a simpler way of life
lucky_charm	you are trying to connect with your spiritual energy
harpoon	your desire to nail down a solution to a waking problem
belch	a breakthrough in your personal struggles
blackout	your lack of insight and perspective on a situation
cataract	you are looking for clarity in some situation
scream	anger and fear
secret	hidden power
lightning	sudden awareness, insight, spiritual revelation, truth and purification
parking_attendant	you are lacking your own direction in life
laptop	you are relying too much on your social network
telegram	you are trying to make an aspect of yourself known without being too direct about it
hieroglyphic	you will face many obstacles as you try to figure out your path in life
welding	you need to incorporate some behavior, habit, or character into your life
triquetra	as in the past, present, and future or father, mother, and child or body, mind, and soul, etc
helix	energy, fertility or immortality
screening	you need to take a closer look at your actions and your motives
tired	you are feeling emotionally drained and stressed
hour	sensual enjoyment, stimulation, and relaxation
toll_road	the price you have to pay in order to get ahead in life
marshmallow	growth and motivation
rooster	bragging and self-glorification
ocean	the state of your emotions and feelings
fountain	joy, renewed pleasure or increased sensitivity
honeymoon	you are expressing some fear in your sex life
tourist	you are unsure of your surroundings and environment
stork	motherly love, faithfulness, new birth or fertility
bank	your desires for financial security
seaweed	you need to rely on your intuition and trust your instincts
dish	ideas, concepts, and attitudes
gown	enjoyment, social pleasures, grace and culture
computer_game	a situation in your waking life you either win or where lose
crucifix	some aspect of your life is in disarray
trumpet	some sort of warning or danger that you have found yourself in
shopping_cart	you are reaping the rewards and benefits of your hard work
cornfield	your desire to escape from your daily demands and/or problems
bulldozer	you are feeling pushed away from what you want
memory	you must let go of the past in order to move forward with your life
surrogate	you are trying to compensate for something that is missing in your life
staircase	change and transformation
wagon	childhood joy and light-hearted fun
behind	you are offering your support and encouragement for someone
sports_car	your desire to live life in the fast lane
pressure	stress and tension in your life
artichoke	you need to get to the heart of some matter
anime	your carefree attitude
vagina	issues with your femininity and you sexual needs/urges
mortarboard	education and learning
unemployed	your lack of self-worth or lack of inspiration
seat	you need to be open to taking and accepting advice
job	you need to work harder or be more effective at work
orient	spiritual awakening, wisdom and intuition
halloween	death and the underworld
landau	light-hearted companionships
carwash	you need to clean up your self-image
animation	you can find the humor and comedy in most situations
speeding	you are compelled and driven to complete something
ghost	you are in danger of malice acts by that person
penguin	your problems are not as serious as you may think
thanksgiving	togetherness, family reunions, festivities, and your sense of community
ear	some stinging remarks or insults
rosemary	sadness and remembrance
bayonet	you need to stand up and fight for your beliefs
saucer	your emotional and spiritual support
horse_trailer	you are underutilizing your power and strength
acquaintance	aspects of yourself 
onyx	self- confidence, spiritual and mental balance and peace of mind
dragonfly	you are consumed by some sort of passion even at the risk of offending or hurting other's feelings
karate	you need to direct your energy and concentrate them toward your goals
red_carpet	your desire to be admired and looked up to
pieta	the eternal bond and love between mother and child
bum	you are feeling like failure or an outcast
bible	you are trying to justify your actions
hound	you are sticking your nose into other people's business
fall	a lack of control, insecurity, and/or lack of support in your waking life
manslaughter	deep-seated anger towards somebody
father	a desperate need for greater closeness with your father
mutant	undeveloped aspects of yourself that you are ignoring or refusing to confront
firecracker	your outbursts
lottery	you are relying too much on fate instead of taking responsibility for your own actions or decisions
ceiling	a mental or spiritual perspective
hood	your protective emotional cover
trance	you need to look within yourself in order to acknowledge a higher insight
modest	you need to be less arrogant and/or assertive in your real-life situations
swordfish	your ability to cut through your emotions and break through the emotional barriers
permission	your lack of power and freedom
musical_chair	instability in some area of your life
colt	you are feeling awkward and insecure
fuzzy	there is something you are not confronting or are refusing to see
night	some major setbacks and obstacles in achieving your goals
rip	you are overestimating the strength of something
pew	you need to stop and reflect on your past mistakes or issues before you can move forward
town	warmth and compassion
psychic	your desires 
haunted	unfinished goals
unconscious	your helplessness and inability to function in some given situation
hairpiece	some sort of deception
utopia	your ideals and your strive for perfection
barber's_pole	you are contemplating a change in your life
if_the_plate_is_empty_in_your_dream,_then_it_indicates_that_there_is_an_emotional_void_in_your_waking_life._you_may_be_feeling_left_out._alternatively,_it_suggests_that_you_need_to_rethink_your_priorities.	you are doing your best and making the best out of a situation
hate	repressed aggression and your fear of confrontations
nutcracker	power strength and stamina
food	a fear of deprivation
stomach	the beginning of new changes in your life
postman	your communications 
hydroplane	you will get through an emotional issue with relative ease
takeout	you are looking for some sort of emotional support
hibiscus	you need to take advantage of some opportunity
headdress	you will win out in some argument, battle or negotiation
tooth_fairy	you will be rewarded or recognized for your current hardships and difficulties
coal	wealth and prosperity
rack	your preoccupation with a problem that has given you much anxiety
bear	independence, strength, death and renewal, and/or resurrection
late	your fear of change and your ambivalence about seizing an opportunity
border	you are entering a new phase or transition in your life
silhouette	some aspect of your life that is not clearly defined
sneeze	a life of ease and joy
yellow_bird	a positive outlook in your professional life
eskimo	your cold and frigid feelings
crash	the anticipation of the crash that jolts you awake
skiing	you are pushing yourself and putting your mental and/or physical ability to the test
charlie_chaplin	you are searching and looking for some direction in your life
thumbtack	issues or responsibilities at work
butter_knife	easiness and simplicity
inventor	your creative side and aspirations
riot	you need to stand up for yourself
treasure_chest	you are trying to recapture something valuable from your past
race_car	your hard driving and headstrong attitudes
jerk	an actual physical contraction of your muscles usually occurring just as you are fall asleep
autumn	the cycle of life 
egg	celebration of a happy event
secretary	you need to more order and organization in your life
sand	a shift in perspective or a change in your attitude
devil	you will succeed in defeating your enemies
shield	emotional and spiritual protection, as well as physical protection
hazelnut	untainted love and honored devotion
chastity_belt	your attitudes and feelings toward sex
danger	you will rise to a place of high position and honor in your business and social circle
balaclava	a sinister or painful secret you are keeping
wing	new found freedom
supernova	something brilliant, new and great
dance_class	you need to learn to let go
shower	you are feeling unclean about a situation
geyser	an outburst of emotion
resort	your need for some relaxation
raft	you are drifting through life, not knowing where you are headed
wedding_cake	harmony and domestic bliss
haunted	early unpleasant traumas and repressed feelings or memories
stereo	great harmony 
fictional_character	you are trying to escape from your own reality
price	the value you are placing on yourself, your time and your abilities
sailor	your desires for adventure, freedom and exploration
wolf	valor and victory
homecoming	you need to acknowledge the past and recognize those former relationships that has brought you to where you are today
fireplace	a burning a desire
scratch	you are feeling anxiety about having to start over or begin something "from scratch"
obsidian	you are well-grounded or that you need to be more grounded
stage_diving	you are taking a chance on something and putting your full trust in those around you
calla_lily	new beginnings, rebirth and longevity
duvet	protection
tan_line	the positives and negatives of a situation
sidecar	you desire independence and control of your own destiny, but something or someone is holding you back
medicine	a period of emotional and/or spiritual healing
bacon	a forbidden situation
